,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly 2002,Věk 2002,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Tituly 2006,Věk 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Tituly 2010,Věk 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Tituly 2014,Věk 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Tituly 2018,Věk 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
0,29.0,Adamec Pavel,MUDr.,35.0,US-DEU,US-DEU,2474.0,2.08,26.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45.0,Aloy Zdeněk,Ing.,70.0,ČSSD,ČSSD,7283.0,1.8,35.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,Anderle Jan,Ing.,46.0,PVP,PVP,5358.0,2.92,3.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,43.0,Andrlík Roman,,35.0,ČSSD,ČSSD,7665.0,1.89,33.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16.0,Anton Jiří,,27.0,SZ,BEZPP,1343.0,1.86,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13.0,Arnošt Patrik,,30.0,US-DEU,US-DEU,2476.0,2.08,10.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17.0,Aschenbrenner Lumír,Ing.,42.0,ODS,ODS,17550.0,2.36,3.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,47.0,Aust Jan,,71.0,KSČM,KSČM,5068.0,1.94,39.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,34.0,Babnič Jan,,48.0,ČSSD,ČSSD,8220.0,2.03,24.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,40.0,Ballýová Hana,,61.0,KSČM,KSČM,5405.0,2.07,32.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,42.0,Bardoňová Jana,,71.0,KSČM,KSČM,5376.0,2.06,34.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3.0,Bartman Vladislav,Ing.,49.0,ODS,ODS,16776.0,2.25,5.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27.0,Bartošová Libuše,RNDr.,43.0,US-DEU,US-DEU,2385.0,2.0,24.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17.0,Basl Jiří,Ing.,33.0,KDU-ČSL,KDU-ČSL,3133.0,2.15,16.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4.0,Baxa Martin,Mgr.,27.0,ODS,ODS,17133.0,2.3,6.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,28.0,Bayer Rudolf,,29.0,US-DEU,US-DEU,2264.0,1.9,25.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4.0,Bednář Milan,Ing.,70.0,ODA,ODA,624.0,2.39,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,34.0,Bednář Radomír,Mgr.,42.0,KDU-ČSL,BEZPP,2696.0,1.85,31.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,43.0,Běláč Josef,,61.0,KSČM,KSČM,5379.0,2.06,35.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3.0,Beneš Karel,,72.0,SŽJ,SŽJ,368.0,4.17,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,29.0,Beran Pavel,,48.0,ODA,BEZPP,449.0,1.72,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8.0,Berglová Marie,,63.0,ODA,ODA,482.0,1.85,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,42.0,Bernhardt Tomáš,Mgr.,34.0,KDU-ČSL,BEZPP,2577.0,1.76,39.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,37.0,Bican Jan,Ing.,36.0,US-DEU,US-DEU,2157.0,1.81,34.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,17.0,Bidlo Jaroslav,,52.0,KSČM,KSČM,5717.0,2.19,9.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,Bis Jiří,Ing.,61.0,ČSSD,ČSSD,10816.0,2.67,1.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7.0,Bláhovec Jiří,MUDr.,50.0,PVP,BEZPP,5011.0,2.73,1.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10.0,Blažková Pavla,,18.0,SZ,BEZPP,1568.0,2.18,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4.0,Boček Pavel,MUDr.,41.0,KDU-ČSL,KDU-ČSL,4776.0,3.27,1.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7.0,Bočko Karel,Ing.,53.0,ODA,ODA,717.0,2.75,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,40.0,Bochnovič Peter,,34.0,PVP,BEZPP,2954.0,1.61,36.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
