,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly 2002,Věk 2002,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Tituly 2006,Věk 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Tituly 2010,Věk 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Tituly 2014,Věk 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Tituly 2018,Věk 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
544,,Meiner Karel,,,KSČM,KSČM,,,,,31.0,,57.0,5846.0,2.1,25,-,,,,,,,,,,,,,,,,,,,,,
545,,Miška Jan,,,ČSSD,ČSSD,,,,,38.0,,58.0,9370.0,2.07,28,-,,,,,,,,,,,,,,,,,,,,,
546,,Motl Leoš,,,SD-SN,SNK ED,,,,,16.0,Ing.,38.0,3454.0,2.04,13,-,,,,,,,,,,,,,,,,,,,,,
547,,Moulis Martin,,,KDU-ČSL,KDU-ČSL,,,,,5.0,Mgr.,28.0,3380.0,2.39,5,-,,,,,,,,,,,,,,,,,,,,,
548,,Mráz David,,,KDU-ČSL,KDU-ČSL,,,,,46.0,,32.0,2400.0,1.69,43,-,,,,,,,,,,,,,,,,,,,,,
549,,Mráz Radek,,,ODS,ODS,,,,,28.0,,23.0,21473.0,2.13,6,-,35.0,Mgr.,27.0,11500.0,2.03,21,-,,,,,,,,,,,,,,
550,,Mudra Milan,,,ČSSD,ČSSD,,,,,22.0,,63.0,9623.0,2.13,12,-,,,,,,,,,,,,,,,,,,,,,
551,,Náhlík Petr,,,KDU-ČSL,KDU-ČSL,,,,,1.0,Ing.,45.0,4982.0,3.52,1,*,1.0,Ing.,49.0,3717.0,3.76,-,-,,,,,,,,1.0,Ing.,57.0,4548.0,3.15,1,*
552,,Nedbal Jaroslav,,,KSČM,KSČM,,,,,40.0,PhDr.,61.0,5783.0,2.08,34,-,,,,,,,,,,,,,,,,,,,,,
553,,Neubauer Radislav,,,ČSSD,ČSSD,,,,,27.0,,41.0,9508.0,2.1,17,-,45.0,,45.0,10972.0,2.01,31,-,,,,,,,,28.0,,53.0,3109.0,2.2,25,-
554,,Neuberg Lumír,,,ČSSD,ČSSD,,,,,15.0,Ing.,41.0,9698.0,2.14,5,-,,,,,,,,,,,,,,,,,,,,,
555,,Nováčková Lucie,,,KDU-ČSL,KDU-ČSL,,,,,23.0,Mgr.,28.0,2900.0,2.05,20,-,,,,,,,,,,,,,,,,,,,,,
556,,Nový Ladislav,,,SZ,BEZPP,,,,,38.0,,26.0,3314.0,1.96,35,-,,,,,,,,,,,,,,,,,,,,,
557,,Odvody Jaroslav,,,ČSSD,ČSSD,,,,,19.0,DiS.,29.0,9642.0,2.13,9,-,35.0,DiS.,33.0,11431.0,2.1,21,-,,,,,,,,,,,,,,
558,,Opial Jaroslav,,,SZ,SZ,,,,,31.0,,53.0,3387.0,2.0,28,-,,,,,,,,,,,,,,,,,,,,,
559,,Osvald Petr,,,ČSSD,ČSSD,,,,,4.0,Ing.,40.0,10126.0,2.24,4,*,12.0,Ing.,44.0,11900.0,2.18,12,*,7.0,Ing.,48.0,6792.0,2.24,7,*,3.0,Ing.,52.0,3364.0,2.38,1,-
560,,Paleček Karel,,,ODS,ODS,,,,,16.0,JUDr.,29.0,21847.0,2.16,16,*,,,,,,,,,,,,,,,,,,,,,
561,,Paul Václav,,,KSČM,KSČM,,,,,34.0,,64.0,5821.0,2.09,28,-,,,,,,,,,,,,,,,,,,,,,
562,,Pavelková Milena,,,ČSSD,ČSSD,,,,,10.0,Mgr.,60.0,9800.0,2.17,10,*,,,,,,,,,,,,,,,,,,,,,
563,,Pazdera Pavel,,,KSČM,KSČM,,,,,23.0,,51.0,5913.0,2.12,17,-,,,,,,,,,,,,,,,,,,,,,
564,,Pelnářová Olga,,,SZ,BEZPP,,,,,27.0,RNDr.,48.0,3563.0,2.11,24,-,,,,,,,,,,,,,,,,,,,,,
565,,Pešek Miloš,,,KDU-ČSL,KDU-ČSL,,,,,29.0,Prof. MUDr. CSc.,56.0,3091.0,2.18,26,-,20.0,prof. MUDr. CSc.,60.0,2233.0,2.26,-,-,,,,,,,,19.0,prof. MUDr. CSc.,68.0,3111.0,2.15,15,-
566,,Pikner Josef,,,NK,BEZPP,,,,,42.0,Ing.,67.0,3010.0,1.78,39,-,,,,,,,,,,,,,,,,,,,,,
567,,Pivoňka Petr,,,KSČM,KSČM,,,,,8.0,,36.0,5993.0,2.15,2,-,,,,,,,,,,,,,,,,,,,,,
568,,Podaný Jiří,,,KSČM,KSČM,,,,,41.0,,60.0,5795.0,2.08,35,-,,,,,,,,,,,,,,,,,,,,,
569,,Podaný Pavel,,,KDU-ČSL,KDU-ČSL,,,,,45.0,Ing.,27.0,2462.0,1.74,42,-,,,,,,,,,,,,,,,,,,,,,
570,,Podlipný Jiří,,,PVP,BEZPP,,,,,12.0,MUDr.,37.0,4196.0,2.36,5,-,4.0,MUDr.,41.0,3127.0,2.71,2,-,2.0,MUDr. Ph.D.,45.0,1686.0,3.34,-,-,,,,,,,
571,,Pohůdka Vladimír,,,ODS,ODS,,,,,30.0,,47.0,21380.0,2.12,8,-,,,,,,,,22.0,,55.0,6804.0,2.1,12,-,,,,,,,
572,,Popp Tomáš,,,SZ,SZ,,,,,9.0,,28.0,3810.0,2.25,8,-,,,,,,,,,,,,,,,,,,,,,
573,,Popule Petr,,,SOS,BEZPP,,,,,34.0,Ing.,53.0,3252.0,1.92,31,-,,,,,,,,,,,,,,,,,,,,,
574,,Pospíšilík Miroslav,,,KDU-ČSL,KDU-ČSL,,,,,42.0,Ing.,43.0,2549.0,1.8,39,-,,,,,,,,,,,,,,,,,,,,,
575,,Posseltová Věra,,,ČSSD,ČSSD,,,,,34.0,Ing.,65.0,9478.0,2.09,24,-,,,,,,,,,,,,,,,,,,,,,
576,,Prokopcová Ladislava,,,PVP,BEZPP,,,,,43.0,,53.0,3215.0,1.81,40,-,,,,,,,,,,,,,,,,,,,,,
577,,Průša Josef,,,ČSSD,ČSSD,,,,,12.0,Doc. Ing. CSc.,67.0,10375.0,2.29,2,-,,,,,,,,,,,,,,,,,,,,,
578,,Přecechtěl Jan,,,ODS,ODS,,,,,35.0,,24.0,21296.0,2.11,13,-,29.0,MBA,28.0,11963.0,2.11,15,-,,,,,,,,,,,,,,
579,,Pyrgalová Jitka,,,KSČM,KSČM,,,,,30.0,,55.0,5859.0,2.1,24,-,,,,,,,,,,,,,,,,,,,,,
580,,Rajchl Václav,,,"""KČ""",BEZPP,,,,,3.0,,28.0,277.0,12.24,-,-,,,,,,,,,,,,,,,,,,,,,
581,,Rajtmajer Karel,,,KDU-ČSL,KDU-ČSL,,,,,15.0,Ing.,52.0,2844.0,2.01,12,-,30.0,Ing.,56.0,1931.0,1.95,-,-,,,,,,,,,,,,,,
582,,Rauch Stanislav,,,PVP,BEZPP,,,,,13.0,Ing.,53.0,3946.0,2.22,11,-,12.0,Ing.,57.0,2527.0,2.19,12,-,13.0,Ing.,60.0,1129.0,2.23,-,-,,,,,,,
583,,Reischig Tomáš,,,PVP,BEZPP,,,,,30.0,MUDr.,34.0,3711.0,2.08,27,-,30.0,MUDr. Ph.D.,38.0,2489.0,2.16,28,-,23.0,doc. MUDr. Ph.D.,42.0,1195.0,2.36,-,-,,,,,,,
584,,Rödl Pavel,,,ODS,ODS,,,,,1.0,Ing.,52.0,22837.0,2.26,1,*,,,,,,,,,,,,,,,,,,,,,
585,,Rösch Ludvík,,,US-DEU,US-DEU,,,,,13.0,JUDr.,51.0,3847.0,2.27,11,-,,,,,,,,,,,,,,,,,,,,,
586,,Rozšafný Oldřich,,,KDU-ČSL,KDU-ČSL,,,,,10.0,Ing.,47.0,3259.0,2.3,8,-,12.0,Ing.,51.0,2199.0,2.22,-,-,,,,,,,,,,,,,,
587,,Rudolf Ondřej,,,KDU-ČSL,KDU-ČSL,,,,,22.0,,35.0,2777.0,1.96,19,-,,,,,,,,,,,,,,,,,,,,,
588,,Ruffer Ladislav,,,KSČM,KSČM,,,,,22.0,,63.0,5883.0,2.11,16,-,,,,,,,,,,,,,,,,,,,,,
589,,Rund Petr,,,ODS,ODS,,,,,10.0,Ing.,31.0,21742.0,2.15,10,*,4.0,Ing.,35.0,12581.0,2.22,4,*,,,,,,,,,,,,,,
590,,Rybářová - Ročáková Lilka,,,KDU-ČSL,KDU-ČSL,,,,,6.0,Mgr.,58.0,3714.0,2.62,2,-,,,,,,,,,,,,,,,,,,,,,
591,,Ryšánek Martin,,,ODS,ODS,,,,,33.0,,29.0,21316.0,2.11,11,-,,,,,,,,,,,,,,,,,,,,,
592,,Řehula Roman,,,ODS,ODS,,,,,36.0,,40.0,21200.0,2.1,14,-,,,,,,,,,,,,,,,,,,,,,
593,,Sedláček Vladimír,,,KSČM,KSČM,,,,,16.0,,52.0,5917.0,2.12,10,-,9.0,,56.0,4759.0,2.14,4,-,,,,,,,,,,,,,,
594,,Sequensová Helena,,,SNK ED,BEZPP,,,,,8.0,Mgr.,54.0,4324.0,2.56,2,-,,,,,,,,,,,,,,,,,,,,,
595,,Schnebergerová Milada,,,ČSSD,ČSSD,,,,,32.0,,42.0,9517.0,2.1,22,-,,,,,,,,,,,,,,,,,,,,,
596,,Skočil Jaroslav,,,KSČM,KSČM,,,,,43.0,RSDr.,57.0,5760.0,2.07,37,-,,,,,,,,,,,,,,,,,,,,,
597,,Slavotínek Josef,,,ODS,ODS,,,,,44.0,,39.0,20303.0,2.01,22,-,,,,,,,,,,,,,,,,,,,,,
598,,Smolková Růžena,,,KDU-ČSL,KDU-ČSL,,,,,43.0,,44.0,2545.0,1.8,40,-,,,,,,,,,,,,,,,,,,,,,
599,,Sojka Oldřich,,,ČSSD,ČSSD,,,,,16.0,MUDr.,62.0,9743.0,2.15,6,-,,,,,,,,,,,,,,,38.0,MUDr.,74.0,2952.0,2.09,35,-
600,,Sova Petr,,,ČSSD,ČSSD,,,,,8.0,Ing.,41.0,9907.0,2.19,8,*,8.0,Ing.,45.0,11820.0,2.17,8,*,13.0,Ing.,49.0,6639.0,2.19,3,-,15.0,Ing.,53.0,3094.0,2.19,12,-
601,,Spalová Simona,,,ODS,ODS,,,,,27.0,,32.0,21522.0,2.13,5,-,38.0,Bc.,36.0,11747.0,2.07,24,-,,,,,,,,,,,,,,
602,,Speierl Václav,,,ODS,ODS,,,,,47.0,,41.0,19005.0,1.88,25,-,,,,,,,,,,,,,,,,,,,,,
603,,Spěváčková Jaroslava,,,PVP,BEZPP,,,,,23.0,Mgr.,54.0,3742.0,2.1,21,-,23.0,Mgr.,58.0,2390.0,2.07,22,-,42.0,Mgr.,62.0,912.0,1.8,-,-,,,,,,,
604,,Stehlík Čeněk,,,PVP,BEZPP,,,,,32.0,Ing.,50.0,3471.0,1.95,29,-,32.0,Ing.,54.0,2243.0,1.94,30,-,31.0,Ing.,58.0,974.0,1.92,-,-,,,,,,,
605,,Stehlík Václav,,,PVP,BEZPP,,,,,36.0,MUDr.,53.0,3498.0,1.97,33,-,,,,,,,,,,,,,,,,,,,,,
606,,Stelzer Pavel,,,SOS,BEZPP,,,,,14.0,Ing.,56.0,4038.0,2.39,5,-,,,,,,,,,,,,,,,,,,,,,
607,,Strejc Miroslav,,,SD-SN,SNK ED,,,,,28.0,,52.0,3240.0,1.92,25,-,,,,,,,,,,,,,,,,,,,,,
608,,Strobach Jiří,,,ODS,ODS,,,,,18.0,,44.0,21765.0,2.16,18,*,13.0,,48.0,12216.0,2.15,13,*,,,,,,,,,,,,,,
609,,Suda Karel,,,KSČM,KSČM,,,,,32.0,,57.0,5876.0,2.11,26,-,25.0,,61.0,4715.0,2.12,20,-,42.0,,65.0,3234.0,2.11,36,-,,,,,,,
610,,Süssová Iva,,,KSČM,BEZPP,,,,,36.0,,44.0,5857.0,2.1,30,-,,,,,,,,,,,,,,,,,,,,,
611,,Svatoš Miroslav,,,PVP,BEZPP,,,,,25.0,MVDr.,45.0,4165.0,2.34,6,-,24.0,MVDr.,49.0,2751.0,2.39,5,-,,,,,,,,,,,,,,
612,,Svejkovský Martin,,,KDU-ČSL,KDU-ČSL,,,,,17.0,,20.0,2882.0,2.04,14,-,5.0,Mgr.,24.0,2248.0,2.27,-,-,,,,,,,,20.0,Mgr.,32.0,2939.0,2.03,16,-
613,,Svoboda Miroslav,,,KDU-ČSL,KDU-ČSL,,,,,7.0,Mgr.,44.0,3284.0,2.32,6,-,14.0,Mgr.,48.0,2179.0,2.2,-,-,,,,,,,,,,,,,,
614,,Syka Karel,,,PVP,BEZPP,,,,,2.0,Mgr.,57.0,4767.0,2.68,3,*,2.0,Mgr.,61.0,3255.0,2.82,2,*,4.0,Mgr.,65.0,1495.0,2.96,-,-,,,,,,,
615,,Šantínová Věra,,,KDU-ČSL,BEZPP,,,,,26.0,,54.0,2724.0,1.92,23,-,,,,,,,,,,,,,,,,,,,,,
616,,Šebelová Jana,,,ČSSD,ČSSD,,,,,47.0,Mgr.,25.0,8666.0,1.91,37,-,,,,,,,,,,,,,,,,,,,,,
617,,Šedo Ilja,,,PVP,BEZPP,,,,,31.0,PhDr.,55.0,3635.0,2.04,28,-,31.0,PhDr.,59.0,2335.0,2.02,29,-,32.0,PhDr.,63.0,1004.0,1.98,-,-,,,,,,,
618,,Šimák Miloslav,,,ČSSD,ČSSD,,,,,2.0,Ing.,56.0,9983.0,2.21,2,*,6.0,Ing.,60.0,11806.0,2.17,6,*,12.0,Ing.,64.0,6736.0,2.22,2,-,,,,,,,
619,,Široká Šárka,,,PVP,BEZPP,,,,,34.0,Mgr.,28.0,3535.0,1.99,31,-,11.0,Mgr.,32.0,2511.0,2.18,11,-,,,,,,,,,,,,,,
620,,Šlajsová Miloslava,,,ODS,ODS,,,,,19.0,Ing.,54.0,21912.0,2.17,19,*,3.0,Ing.,57.0,12476.0,2.2,3,*,,,,,,,,18.0,Ing.,65.0,10363.0,2.13,5,-
621,,Šorm Rudolf,,,PVP,BEZPP,,,,,39.0,Ing.,56.0,3331.0,1.87,36,-,39.0,Ing.,60.0,2149.0,1.86,37,-,39.0,Ing.,64.0,925.0,1.83,-,-,,,,,,,
622,,Šteinová Helena,,,US-DEU,US-DEU,,,,,18.0,Ing.,36.0,3633.0,2.15,15,-,10.0,Ing.,40.0,2317.0,2.25,-,-,,,,,,,,,,,,,,
623,,Štekl Václav,,,KSČM,BEZPP,,,,,4.0,Ing.,30.0,6192.0,2.22,4,*,2.0,Ing.,34.0,5019.0,2.26,2,*,,,,,,,,,,,,,,
624,,Štěpáník Milan,,,KDU-ČSL,KDU-ČSL,,,,,27.0,MUDr.,51.0,2862.0,2.02,24,-,,,,,,,,,,,,,,,,,,,,,
625,,Štěrba Miroslav,,,ČSSD,ČSSD,,,,,11.0,,52.0,9851.0,2.18,1,-,9.0,,56.0,11795.0,2.16,9,*,,,,,,,,,,,,,,
626,,Štěrba Miroslav,,,ČSSD,ČSSD,,,,,37.0,,28.0,9493.0,2.1,27,-,9.0,,56.0,11795.0,2.16,9,*,,,,,,,,,,,,,,
627,,Štorek Zdeněk,,,"""KČ""",BEZPP,,,,,7.0,,59.0,213.0,9.41,-,-,,,,,,,,,,,,,,,,,,,,,
628,,Štrunc Petr,,,ODS,ODS,,,,,11.0,,38.0,21660.0,2.15,11,*,,,,,,,,,,,,,,,,,,,,,
629,,Študentová Eva,,,ČSSD,ČSSD,,,,,24.0,,58.0,9568.0,2.11,14,-,,,,,,,,,,,,,,,,,,,,,
630,,Švantner Miloslav,,,KSČM,KSČM,,,,,14.0,,59.0,5944.0,2.13,8,-,14.0,,63.0,4735.0,2.13,9,-,25.0,,67.0,3301.0,2.15,20,-,20.0,,71.0,2612.0,2.1,17,-
631,,Tausch Milan,,,PVP,BEZPP,,,,,5.0,Ing.,39.0,4082.0,2.29,7,-,34.0,Ing.,43.0,2222.0,1.93,32,-,28.0,Ing.,47.0,980.0,1.94,-,-,,,,,,,
632,,Tichý Vladimír,,,ODS,ODS,,,,,8.0,Ing.,33.0,21892.0,2.17,8,*,5.0,Ing.,37.0,12410.0,2.19,5,*,,,,,,,,,,,,,,
633,,Tofl Petr,,,ODS,ODS,,,,,13.0,,37.0,21742.0,2.15,13,*,,,,,,,,,,,,,,,,,,,,,
634,,Topinka Milan,,,ČSSD,ČSSD,,,,,20.0,Bc.,42.0,9644.0,2.13,10,-,33.0,Bc.,46.0,11489.0,2.11,19,-,,,,,,,,,,,,,,
635,,Trapp Jan,,,ODS,ODS,,,,,38.0,,36.0,21046.0,2.08,16,-,,,,,,,,,,,,,,,,,,,,,
636,,Trejbalová Marie,,,KDU-ČSL,KDU-ČSL,,,,,16.0,,37.0,2867.0,2.02,13,-,26.0,,41.0,1901.0,1.92,-,-,,,,,,,,,,,,,,
637,,Trhlík Jiří,,,PVP,BEZPP,,,,,10.0,Ing.,45.0,4229.0,2.38,4,-,10.0,Ing.,49.0,2635.0,2.28,10,-,10.0,Ing.,53.0,1132.0,2.24,-,-,,,,,,,
638,,Trmota Zdeněk,,,ČSSD,ČSSD,,,,,14.0,Ing.,41.0,9791.0,2.16,4,-,23.0,Ing.,45.0,11721.0,2.15,9,-,42.0,Ing.,49.0,6195.0,2.04,32,-,,,,,,,
639,,Tyšer Stanislav,,,ČSSD,ČSSD,,,,,36.0,,50.0,9413.0,2.08,26,-,,,,,,,,,,,,,,,,,,,,,
640,,Uhlík František,,,ODS,ODS,,,,,17.0,,38.0,21632.0,2.14,17,*,,,,,,,,,,,,,,,,,,,,,
641,,Uhlík Jiří,,,ODS,ODS,,,,,2.0,,36.0,22086.0,2.19,2,*,6.0,,40.0,12512.0,2.21,6,*,,,,,,,,,,,,,,
642,,Uhlík Milan,,,ODS,ODS,,,,,37.0,Ing.,35.0,21153.0,2.1,15,-,14.0,Ing.,39.0,11950.0,2.11,14,*,9.0,Ing.,43.0,7019.0,2.17,10,*,10.0,Ing.,47.0,10476.0,2.15,11,*
643,,Ulč Václav,,,KDU-ČSL,BEZPP,,,,,24.0,Ing. arch.,45.0,3120.0,2.2,21,-,18.0,Ing. arch.,49.0,2153.0,2.18,-,-,,,,,,,,,,,,,,
644,,Urie Bohumil,,,KSČM,BEZPP,,,,,33.0,Mgr.,50.0,5844.0,2.1,27,-,,,,,,,,39.0,,58.0,3262.0,2.13,33,-,,,,,,,
645,,Urksová Stanislava,,,KSČM,KSČM,,,,,47.0,,62.0,5571.0,2.0,41,-,,,,,,,,,,,,,,,,,,,,,
646,,Vacovská Hana,,,PVP,BEZPP,,,,,33.0,MUDr.,53.0,3644.0,2.05,30,-,33.0,MUDr.,57.0,2310.0,2.0,31,-,,,,,,,,,,,,,,
647,,Valenta Jiří,,,KSČM,KSČM,,,,,2.0,PhDr. Mgr. Mgr.,40.0,6271.0,2.25,2,*,1.0,PhDr. Mgr. Mgr.,44.0,5196.0,2.34,1,*,10.0,PhDr. Ing. Mgr.etMgr,48.0,3474.0,2.27,5,-,6.0,PhDr.Ing.Mgr.et Mgr.,52.0,2830.0,2.28,3,-
648,,Veverková Pravoslava,,,ČSSD,ČSSD,,,,,17.0,,59.0,9756.0,2.16,7,-,,,,,,,,,,,,,,,,,,,,,
649,,Vileta Karel,,,KSČM,KSČM,,,,,35.0,,59.0,5847.0,2.1,29,-,37.0,,63.0,4633.0,2.09,32,-,,,,,,,,,,,,,,
650,,Vítek Karel,,,PVP,PVP,,,,,4.0,Ing.,50.0,4337.0,2.44,2,-,9.0,Ing.,54.0,2570.0,2.23,9,-,12.0,Ing.,58.0,1064.0,2.1,-,-,,,,,,,
651,,Vlach Pavel,,,ČSSD,ČSSD,,,,,40.0,Ing.,62.0,9273.0,2.05,30,-,,,,,,,,,,,,,,,,,,,,,
652,,Vlček Pavel,,,PVP,BEZPP,,,,,18.0,MUDr.,51.0,3924.0,2.2,16,-,42.0,MUDr.,55.0,2185.0,1.89,40,-,,,,,,,,,,,,,,
653,,Vlk Otto,,,KSČM,KSČM,,,,,37.0,,53.0,5813.0,2.09,31,-,,,,,,,,35.0,,61.0,3276.0,2.14,29,-,,,,,,,
654,,Vokoun Antonín,,,SZ,SZ,,,,,40.0,,29.0,3216.0,1.9,37,-,,,,,,,,,,,,,,,,,,,,,
655,,Vondrovský Václav,,,"""KČ""",BEZPP,,,,,6.0,,43.0,260.0,11.48,-,-,,,,,,,,,,,,,,,,,,,,,
656,,Vondryska Vlastimil,,,KSČM,KSČM,,,,,7.0,,54.0,6020.0,2.16,1,-,32.0,,58.0,4659.0,2.1,27,-,,,,,,,,,,,,,,
657,,Vordová Renata,,,PVP,BEZPP,,,,,26.0,Mgr.,42.0,3694.0,2.08,23,-,28.0,Mgr.,46.0,2312.0,2.0,26,-,,,,,,,,,,,,,,
658,,Votava Jan,,,US-DEU,US-DEU,,,,,26.0,,63.0,3234.0,1.91,23,-,,,,,,,,,,,,,,,,,,,,,
659,,Weber Ivo,,,PVP,BEZPP,,,,,41.0,,42.0,3245.0,1.82,38,-,,,,,,,,,,,,,,,,,,,,,
660,,Weinfurter František,,,ODS,ODS,,,,,12.0,,42.0,21700.0,2.15,12,*,28.0,,46.0,11750.0,2.07,14,-,,,,,,,,,,,,,,
661,,Winkelhöfer Jiří,,,ODS,ODS,,,,,23.0,,34.0,21879.0,2.17,1,-,17.0,,38.0,12221.0,2.16,3,-,,,,,,,,,,,,,,
662,,Wolf Miloš,,,"""KČ""",BEZPP,,,,,5.0,,49.0,250.0,11.04,-,-,,,,,,,,,,,,,,,,,,,,,
663,,Zábranský Miroslav,,,US-DEU,US-DEU,,,,,1.0,Ing.,35.0,4536.0,2.68,1,-,1.0,Ing.,39.0,3043.0,2.95,-,-,,,,,,,,,,,,,,
664,,Zíka Petr,,,KSČM,KSČM,,,,,15.0,Mgr.,49.0,5975.0,2.15,9,-,15.0,Mgr.,53.0,4773.0,2.15,10,-,23.0,Mgr.,57.0,3327.0,2.17,18,-,38.0,Mgr.,61.0,2579.0,2.07,35,-
665,,Zrzavecký Martin,,,ČSSD,ČSSD,,,,,25.0,,33.0,9569.0,2.11,15,-,2.0,,37.0,11929.0,2.19,2,*,1.0,,41.0,7182.0,2.36,1,*,1.0,,45.0,4027.0,2.85,1,*
666,,Ženíšek Karel,,,KDU-ČSL,KDU-ČSL,,,,,32.0,,60.0,2893.0,2.04,29,-,19.0,,64.0,2058.0,2.08,-,-,,,,,,,,,,,,,,
667,,Ženíšek Marek,,,KDU-ČSL,KDU-ČSL,,,,,4.0,PhDr.,27.0,3397.0,2.4,4,-,,,,,,,,,,,,,,,,,,,,,
668,,Ženíšek Martin,,,ODS,ODS,,,,,41.0,,26.0,20805.0,2.06,19,-,,,,,,,,,,,,,,,,,,,,,
669,,Achac Josef,,,ČSSD,ČSSD,,,,,,,,,,,,47.0,,35.0,10354.0,1.9,33,-,,,,,,,,,,,,,,
670,,Alanija Georgij,,,Piráti,BEZPP,,,,,,,,,,,,4.0,Mgr.,48.0,475.0,2.53,-,-,,,,,,,,,,,,,,
671,,Anton Lukáš,,,ČSSD,ČSSD,,,,,,,,,,,,37.0,,33.0,11356.0,2.08,23,-,,,,,,,,30.0,,41.0,2984.0,2.11,27,-
672,,Arias Rolando,,,TOP 09,TOP 09,,,,,,,,,,,,8.0,MUDr.,44.0,6229.0,2.21,2,-,7.0,MUDr.,48.0,3709.0,2.22,2,-,,,,,,,
673,,Aschenbrenner Lumír,,,ODS,ODS,,,,,,,,,,,,16.0,Ing.,50.0,13047.0,2.3,2,-,10.0,Ing.,54.0,8530.0,2.63,3,*,11.0,Ing.,58.0,11513.0,2.36,2,*
674,,Assadová Romana,,,Suveren.,BEZPP,,,,,,,,,,,,1.0,,38.0,1699.0,3.6,-,-,,,,,,,,,,,,,,
675,,Babnič Jan,,,ČSSD,ČSSD,,,,,,,,,,,,24.0,,56.0,11575.0,2.12,10,-,35.0,Bc.,60.0,6355.0,2.09,25,-,,,,,,,
676,,Babuška Martin,,,Suveren.,Svobodní,,,,,,,,,,,,3.0,Ing.,34.0,1198.0,2.53,-,-,,,,,,,,,,,,,,
677,,Baloun Květoslav,,,TOP 09,TOP 09,,,,,,,,,,,,29.0,MUDr.,58.0,5911.0,2.1,22,-,,,,,,,,,,,,,,
678,,Baroňová Květa,,,VV,BEZPP,,,,,,,,,,,,46.0,,60.0,1124.0,1.84,-,-,,,,,,,,,,,,,,
679,,Baxa Martin,,,ODS,ODS,,,,,,,,,,,,1.0,Mgr.,35.0,13691.0,2.42,2,*,1.0,Mgr.,39.0,9843.0,3.04,1,*,1.0,Mgr.,43.0,12786.0,2.62,1,*
680,,Bayer Rudolf,,,ČSSD,ČSSD,,,,,,,,,,,,16.0,,37.0,11650.0,2.14,2,-,6.0,,41.0,6634.0,2.18,6,*,,,,,,,
681,,Bednář Jan,,,DSSS,DSSS,,,,,,,,,,,,9.0,,34.0,271.0,6.27,-,-,5.0,,38.0,423.0,4.14,-,-,5.0,,42.0,249.0,2.35,-,-
682,,Bednář Václav,,,TOP 09,TOP 09,,,,,,,,,,,,28.0,JUDr. Ph.D.,34.0,6069.0,2.15,21,-,,,,,,,,,,,,,,
683,,Bedrník Jiří,,,VV,BEZPP,,,,,,,,,,,,36.0,Ing.,26.0,1272.0,2.09,-,-,,,,,,,,,,,,,,
684,,Bejm Petr,,,VV,VV,,,,,,,,,,,,29.0,,55.0,1233.0,2.02,-,-,,,,,,,,,,,,,,
685,,Bělek Jan,,,Piráti,BEZPP,,,,,,,,,,,,26.0,,20.0,369.0,1.96,-,-,,,,,,,,,,,,,,
686,,Bém Jiří,,,Suveren.,BEZPP,,,,,,,,,,,,34.0,,64.0,960.0,2.03,-,-,,,,,,,,,,,,,,
687,,Benadová Hana,,,Občané,BEZPP,,,,,,,,,,,,34.0,Mgr.,52.0,4404.0,2.13,28,-,,,,,,,,,,,,,,
688,,Benešová Marie,,,Piráti,BEZPP,,,,,,,,,,,,12.0,,56.0,386.0,2.06,-,-,,,,,,,,,,,,,,
689,,Berka František,,,Občané,BEZPP,,,,,,,,,,,,8.0,Mgr.,54.0,4838.0,2.34,5,-,,,,,,,,,,,,,,
690,,Bernhard Tomáš,,,KDU-ČSL,KDU-ČSL,,,,,,,,,,,,10.0,Mgr.,42.0,2220.0,2.25,-,-,,,,,,,,,,,,,,
691,,Bibková Katarína,,,NK,BEZPP,,,,,,,,,,,,36.0,,38.0,1949.0,1.89,-,-,,,,,,,,,,,,,,
692,,Boček Miroslav,,,KSČM,BEZPP,,,,,,,,,,,,20.0,,31.0,4733.0,2.13,15,-,,,,,,,,22.0,,39.0,2616.0,2.1,19,-
693,,Boháčová Pavla,,,ODS,ODS,,,,,,,,,,,,25.0,Bc.,24.0,12070.0,2.13,11,-,,,,,,,,,,,,,,
694,,Bohatá Irena,,,Občané,BEZPP,,,,,,,,,,,,29.0,Mgr.,34.0,4463.0,2.15,23,-,,,,,,,,,,,,,,
695,,Bolek Lukáš,,,TOP 09,BEZPP,,,,,,,,,,,,19.0,MUDr. Ph.D.,49.0,6264.0,2.22,13,-,38.0,MUDr. Ph.D.,53.0,3409.0,2.04,33,-,,,,,,,
696,,Boudník Jiří,,,TOP 09,BEZPP,,,,,,,,,,,,7.0,,40.0,6380.0,2.27,1,-,,,,,,,,,,,,,,
697,,Boušík Michael,,,ODS,ODS,,,,,,,,,,,,39.0,,39.0,11779.0,2.08,25,-,,,,,,,,,,,,,,
