,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly,Věk,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
672,0.0,Ženíšek Martin,Ing.,33,ODS,ODS,0,0.0,0,0,8.0,21 892,2.17,8,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
673,0.0,Ženíšek Martin,,37,ODS,ODS,0,0.0,0,0,13.0,21 742,2.15,13,*,12.0,11 913,2.1,12,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0
674,0.0,Ženíšek Martin,,37,ODS,ODS,0,0.0,0,0,13.0,21 742,2.15,13,*,37.0,11 776,2.08,23,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
675,0.0,Ženíšek Martin,Bc.,42,ČSSD,ČSSD,0,0.0,0,0,20.0,9 644,2.13,10,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
676,0.0,Ženíšek Martin,,36,ODS,ODS,0,0.0,0,0,38.0,21 046,2.08,16,-,31.0,11 984,2.11,17,-,0.0,0,0.0,0,0,45.0,9 427,1.93,32,-
677,0.0,Ženíšek Martin,,36,ODS,ODS,0,0.0,0,0,2.0,22 086,2.19,2,*,31.0,11 984,2.11,17,-,0.0,0,0.0,0,0,45.0,9 427,1.93,32,-
678,0.0,Ženíšek Martin,,37,KDU-ČSL,KDU-ČSL,0,0.0,0,0,16.0,2 867,2.02,13,-,0.0,0,0.0,0,0,24.0,2 134,2.04,21,-,0.0,0,0.0,0,0
679,0.0,Ženíšek Martin,Ing.,45,PVP,BEZPP,0,0.0,0,0,10.0,4 229,2.38,4,-,41.0,2 172,1.88,39,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
680,0.0,Ženíšek Martin,Ing.,45,PVP,BEZPP,0,0.0,0,0,10.0,4 229,2.38,4,-,25.0,2 277,1.97,23,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
681,0.0,Ženíšek Martin,Ing.,35,ODS,ODS,0,0.0,0,0,37.0,21 153,2.1,15,-,4.0,12 581,2.22,4,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0
682,0.0,Ženíšek Martin,Ing. arch.,45,KDU-ČSL,BEZPP,0,0.0,0,0,24.0,3 120,2.2,21,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
683,0.0,Ženíšek Martin,Mgr.,50,KSČM,BEZPP,0,0.0,0,0,33.0,5 844,2.1,27,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
684,0.0,Ženíšek Martin,,62,KSČM,KSČM,0,0.0,0,0,47.0,5 571,2.0,41,-,0.0,0,0.0,0,0,31.0,3 288,2.15,25,-,44.0,2 524,2.03,41,-
685,0.0,Ženíšek Martin,,62,KSČM,KSČM,0,0.0,0,0,47.0,5 571,2.0,41,-,0.0,0,0.0,0,0,31.0,3 288,2.15,25,-,43.0,2 539,2.04,40,-
686,0.0,Ženíšek Martin,,62,KSČM,KSČM,0,0.0,0,0,47.0,5 571,2.0,41,-,0.0,0,0.0,0,0,31.0,3 288,2.15,25,-,16.0,2 620,2.11,13,-
687,0.0,Ženíšek Martin,,62,KSČM,KSČM,0,0.0,0,0,47.0,5 571,2.0,41,-,0.0,0,0.0,0,0,41.0,3 341,2.18,35,-,44.0,2 524,2.03,41,-
688,0.0,Ženíšek Martin,,62,KSČM,KSČM,0,0.0,0,0,47.0,5 571,2.0,41,-,0.0,0,0.0,0,0,41.0,3 341,2.18,35,-,43.0,2 539,2.04,40,-
689,0.0,Ženíšek Martin,,62,KSČM,KSČM,0,0.0,0,0,47.0,5 571,2.0,41,-,0.0,0,0.0,0,0,41.0,3 341,2.18,35,-,16.0,2 620,2.11,13,-
690,0.0,Ženíšek Martin,PhDr. Mgr. Mgr.,40,KSČM,KSČM,0,0.0,0,0,2.0,6 271,2.25,2,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
691,0.0,Ženíšek Martin,,59,ČSSD,ČSSD,0,0.0,0,0,17.0,9 756,2.16,7,-,11.0,11 731,2.15,11,*,0.0,0,0.0,0,0,27.0,2 996,2.12,24,-
692,0.0,Ženíšek Martin,Ing.,62,ČSSD,ČSSD,0,0.0,0,0,40.0,9 273,2.05,30,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
693,0.0,Ženíšek Martin,MUDr.,51,PVP,BEZPP,0,0.0,0,0,18.0,3 924,2.2,16,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
694,0.0,Ženíšek Martin,,29,SZ,SZ,0,0.0,0,0,40.0,3 216,1.9,37,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
695,0.0,Ženíšek Martin,,43,"""KČ""",BEZPP,0,0.0,0,0,6.0,260,11.48,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
696,0.0,Ženíšek Martin,,54,KSČM,KSČM,0,0.0,0,0,7.0,6 020,2.16,1,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,42.0,2 558,2.06,39,-
697,0.0,Ženíšek Martin,Mgr.,42,PVP,BEZPP,0,0.0,0,0,26.0,3 694,2.08,23,-,0.0,0,0.0,0,0,11.0,1 082,2.14,-,-,0.0,0,0.0,0,0
698,0.0,Ženíšek Martin,,63,US-DEU,US-DEU,0,0.0,0,0,26.0,3 234,1.91,23,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
699,0.0,Ženíšek Martin,,42,PVP,BEZPP,0,0.0,0,0,41.0,3 245,1.82,38,-,20.0,2 247,1.95,20,-,6.0,1 163,2.3,-,-,0.0,0,0.0,0,0
700,0.0,Ženíšek Martin,,42,ODS,ODS,0,0.0,0,0,12.0,21 700,2.15,12,*,21.0,12 065,2.13,7,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
701,0.0,Ženíšek Martin,,42,ODS,ODS,0,0.0,0,0,12.0,21 700,2.15,12,*,43.0,11 415,2.01,29,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
702,0.0,Ženíšek Martin,,34,ODS,ODS,0,0.0,0,0,23.0,21 879,2.17,1,-,0.0,0,0.0,0,0,46.0,5 978,1.84,36,-,0.0,0,0.0,0,0
703,0.0,Ženíšek Martin,,49,"""KČ""",BEZPP,0,0.0,0,0,5.0,250,11.04,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
704,0.0,Ženíšek Martin,Ing.,35,US-DEU,US-DEU,0,0.0,0,0,1.0,4 536,2.68,1,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
705,0.0,Ženíšek Martin,Mgr.,49,KSČM,KSČM,0,0.0,0,0,15.0,5 975,2.15,9,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
706,0.0,Ženíšek Martin,,33,ČSSD,ČSSD,0,0.0,0,0,25.0,9 569,2.11,15,-,37.0,11 356,2.08,23,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
707,0.0,Ženíšek Martin,,60,KDU-ČSL,KDU-ČSL,0,0.0,0,0,32.0,2 893,2.04,29,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
708,0.0,Ženíšek Martin,PhDr.,27,KDU-ČSL,KDU-ČSL,0,0.0,0,0,4.0,3 397,2.4,4,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
709,0.0,Ženíšek Martin,Mgr.,48,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,4.0,475,2.53,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
710,0.0,Ženíšek Martin,Ing.,54,PVP,PVP,0,0.0,0,0,0.0,0,0.0,0,0,3.0,3 251,2.82,1,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
711,0.0,Ženíšek Martin,Ing.,54,PVP,PVP,0,0.0,0,0,0.0,0,0.0,0,0,9.0,2 570,2.23,9,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
712,0.0,Ženíšek Martin,MUDr.,44,TOP 09,TOP 09,0,0.0,0,0,0.0,0,0.0,0,0,8.0,6 229,2.21,2,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
713,0.0,Ženíšek Martin,Ing.,50,ODS,ODS,0,0.0,0,0,0.0,0,0.0,0,0,16.0,13 047,2.3,2,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
714,0.0,Ženíšek Martin,Ing.,50,ODS,ODS,0,0.0,0,0,0.0,0,0.0,0,0,2.0,13 853,2.44,1,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0
715,0.0,Ženíšek Martin,,38,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,1.0,1 699,3.6,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
716,0.0,Ženíšek Martin,,38,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,27.0,960,2.03,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
717,0.0,Ženíšek Martin,,38,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,35.0,938,1.98,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
718,0.0,Ženíšek Martin,,38,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,11.0,1 022,2.16,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
719,0.0,Ženíšek Martin,,38,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,28.0,968,2.05,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
720,0.0,Ženíšek Martin,Ing.,46,KDU-ČSL,KDU-ČSL,0,0.0,0,0,0.0,0,0.0,0,0,36.0,1 840,1.86,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
721,0.0,Ženíšek Martin,Ing.,46,KDU-ČSL,KDU-ČSL,0,0.0,0,0,0.0,0,0.0,0,0,15.0,2 378,2.41,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
722,0.0,Ženíšek Martin,Ing.,34,Suveren.,Svobodní,0,0.0,0,0,0.0,0,0.0,0,0,3.0,1 198,2.53,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
723,0.0,Ženíšek Martin,MUDr.,58,TOP 09,TOP 09,0,0.0,0,0,0.0,0,0.0,0,0,29.0,5 911,2.1,22,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
724,0.0,Ženíšek Martin,MUDr.,33,KDU-ČSL,KDU-ČSL,0,0.0,0,0,0.0,0,0.0,0,0,17.0,2 004,2.03,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
725,0.0,Ženíšek Martin,,60,VV,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,46.0,1 124,1.84,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
726,0.0,Ženíšek Martin,Ing.,57,ODS,ODS,0,0.0,0,0,0.0,0,0.0,0,0,23.0,12 185,2.15,9,-,15.0,7 067,2.18,5,-,0.0,0,0.0,0,0
727,0.0,Ženíšek Martin,Ing.,57,ODS,ODS,0,0.0,0,0,0.0,0,0.0,0,0,3.0,12 476,2.2,3,*,15.0,7 067,2.18,5,-,0.0,0,0.0,0,0
728,0.0,Ženíšek Martin,Ing.,41,KDU-ČSL,KDU-ČSL,0,0.0,0,0,0.0,0,0.0,0,0,13.0,2 079,2.1,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
729,0.0,Ženíšek Martin,Mgr.,35,ODS,ODS,0,0.0,0,0,0.0,0,0.0,0,0,1.0,13 691,2.42,2,*,0.0,0,0.0,0,0,25.0,10 424,2.14,12,-
730,0.0,Ženíšek Martin,,37,ČSSD,ČSSD,0,0.0,0,0,0.0,0,0.0,0,0,16.0,11 650,2.14,2,-,34.0,6 347,2.09,24,-,0.0,0,0.0,0,0
731,0.0,Ženíšek Martin,,37,ČSSD,ČSSD,0,0.0,0,0,0.0,0,0.0,0,0,42.0,11 256,2.07,28,-,34.0,6 347,2.09,24,-,0.0,0,0.0,0,0
732,0.0,Ženíšek Martin,,37,ČSSD,ČSSD,0,0.0,0,0,0.0,0,0.0,0,0,2.0,11 929,2.19,2,*,34.0,6 347,2.09,24,-,0.0,0,0.0,0,0
733,0.0,Ženíšek Martin,,34,DSSS,DSSS,0,0.0,0,0,0.0,0,0.0,0,0,9.0,271,6.27,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
734,0.0,Ženíšek Martin,JUDr. Ph.D.,34,TOP 09,TOP 09,0,0.0,0,0,0.0,0,0.0,0,0,28.0,6 069,2.15,21,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
735,0.0,Ženíšek Martin,Ing.,26,VV,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,36.0,1 272,2.09,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
736,0.0,Ženíšek Martin,Ing.,26,VV,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,43.0,1 191,1.96,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
737,0.0,Ženíšek Martin,,55,VV,VV,0,0.0,0,0,0.0,0,0.0,0,0,29.0,1 233,2.02,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
738,0.0,Ženíšek Martin,,55,VV,VV,0,0.0,0,0,0.0,0,0.0,0,0,26.0,1 239,2.03,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
739,0.0,Ženíšek Martin,,20,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,26.0,369,1.96,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
740,0.0,Ženíšek Martin,,20,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,39.0,359,1.91,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
741,0.0,Ženíšek Martin,,64,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,34.0,960,2.03,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
742,0.0,Ženíšek Martin,Mgr.,52,Občané,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,34.0,4 404,2.13,28,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
743,0.0,Ženíšek Martin,,56,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,12.0,386,2.06,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
744,0.0,Ženíšek Martin,DiS.,30,ČSSD,ČSSD,0,0.0,0,0,0.0,0,0.0,0,0,21.0,11 605,2.13,7,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
745,0.0,Ženíšek Martin,Mgr.,54,Občané,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,8.0,4 838,2.34,5,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
746,0.0,Ženíšek Martin,Mgr.,42,KDU-ČSL,KDU-ČSL,0,0.0,0,0,0.0,0,0.0,0,0,10.0,2 220,2.25,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
747,0.0,Ženíšek Martin,,38,NK,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,36.0,1 949,1.89,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
748,0.0,Ženíšek Martin,,38,NK,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,4.0,2 469,2.4,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
749,0.0,Ženíšek Martin,Ing.,69,ČSSD,ČSSD,0,0.0,0,0,0.0,0,0.0,0,0,13.0,11 936,2.19,13,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0
750,0.0,Ženíšek Martin,,46,KDU-ČSL,KDU-ČSL,0,0.0,0,0,0.0,0,0.0,0,0,31.0,1 895,1.92,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
751,0.0,Ženíšek Martin,MUDr.,58,PVP,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,7.0,3 032,2.63,3,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
752,0.0,Ženíšek Martin,Bc.,58,NK,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,8.0,2 134,2.07,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
753,0.0,Ženíšek Martin,,31,KSČM,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,20.0,4 733,2.13,15,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
754,0.0,Ženíšek Martin,,31,KSČM,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,19.0,4 728,2.13,14,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
755,0.0,Ženíšek Martin,MUDr.,49,KDU-ČSL,KDU-ČSL,0,0.0,0,0,0.0,0,0.0,0,0,3.0,3 066,3.1,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
756,0.0,Ženíšek Martin,Bc.,24,ODS,ODS,0,0.0,0,0,0.0,0,0.0,0,0,25.0,12 070,2.13,11,-,44.0,6 237,1.92,34,-,0.0,0,0.0,0,0
757,0.0,Ženíšek Martin,Mgr.,34,Občané,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,29.0,4 463,2.15,23,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
758,0.0,Ženíšek Martin,MUDr. Ph.D.,49,TOP 09,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,19.0,6 264,2.22,13,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
759,0.0,Ženíšek Martin,,40,TOP 09,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,7.0,6 380,2.27,1,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
760,0.0,Ženíšek Martin,Bc.,29,ČSSD,ČSSD,0,0.0,0,0,0.0,0,0.0,0,0,14.0,11 687,2.15,14,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0
761,0.0,Ženíšek Martin,Mgr.,55,ČSSD,ČSSD,0,0.0,0,0,0.0,0,0.0,0,0,3.0,11 973,2.2,3,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0
762,0.0,Ženíšek Martin,,41,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,39.0,973,2.06,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
763,0.0,Ženíšek Martin,,39,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,16.0,981,2.07,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
764,0.0,Ženíšek Martin,,39,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,17.0,1 001,2.12,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
765,0.0,Ženíšek Martin,,39,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,20.0,988,2.09,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
766,0.0,Ženíšek Martin,,39,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,24.0,966,2.04,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
767,0.0,Ženíšek Martin,,23,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,17.0,413,2.2,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
768,0.0,Ženíšek Martin,,23,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,44.0,322,1.71,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
769,0.0,Ženíšek Martin,,23,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,47.0,317,1.69,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
770,0.0,Ženíšek Martin,,62,US-DEU,US-DEU,0,0.0,0,0,0.0,0,0.0,0,0,43.0,1 803,1.75,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
771,0.0,Ženíšek Martin,,30,DSSS,DSSS,0,0.0,0,0,0.0,0,0.0,0,0,14.0,258,5.97,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
772,0.0,Ženíšek Martin,,20,VV,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,40.0,1 189,1.95,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
773,0.0,Ženíšek Martin,Ing.,62,SPOZ,SPOZ,0,0.0,0,0,0.0,0,0.0,0,0,20.0,319,2.22,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
774,0.0,Ženíšek Martin,Bc.,25,TOP 09,TOP 09,0,0.0,0,0,0.0,0,0.0,0,0,35.0,5 731,2.03,28,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
775,0.0,Ženíšek Martin,Ing.,65,KSČM,KSČM,0,0.0,0,0,0.0,0,0.0,0,0,42.0,4 594,2.07,37,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
776,0.0,Ženíšek Martin,Ing.,65,KSČM,KSČM,0,0.0,0,0,0.0,0,0.0,0,0,41.0,4 602,2.07,36,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
777,0.0,Ženíšek Martin,prof. RNDr. Ph.D. DSc.,45,KDU-ČSL,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,7.0,2 666,2.7,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
778,0.0,Ženíšek Martin,Ing.,46,PVP,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,47.0,1 725,1.49,45,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
779,0.0,Ženíšek Martin,,45,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,40.0,356,1.9,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
780,0.0,Ženíšek Martin,Mgr.,66,PVP,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,22.0,2 703,2.34,7,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
781,0.0,Ženíšek Martin,,54,KDU-ČSL,KDU-ČSL,0,0.0,0,0,0.0,0,0.0,0,0,28.0,1 901,1.92,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
782,0.0,Ženíšek Martin,Ing.,32,PVP,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,29.0,2 300,1.99,27,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
783,0.0,Ženíšek Martin,,41,TOP 09,TOP 09,0,0.0,0,0,0.0,0,0.0,0,0,31.0,5 787,2.05,24,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
784,0.0,Ženíšek Martin,Ing.,59,US-DEU,US-DEU,0,0.0,0,0,0.0,0,0.0,0,0,30.0,1 981,1.92,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
785,0.0,Ženíšek Martin,Ing.,38,Občané,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,28.0,4 444,2.14,22,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
786,0.0,Ženíšek Martin,,51,PVP,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,37.0,2 208,1.91,35,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
787,0.0,Ženíšek Martin,,22,VV,VV,0,0.0,0,0,0.0,0,0.0,0,0,10.0,1 347,2.21,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
788,0.0,Ženíšek Martin,,32,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,33.0,930,1.97,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
789,0.0,Ženíšek Martin,,32,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,26.0,947,2.0,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
790,0.0,Ženíšek Martin,,32,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,19.0,962,2.03,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
791,0.0,Ženíšek Martin,doc. Ing. Ph.D.,38,TOP 09,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,44.0,5 382,1.91,37,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
792,0.0,Ženíšek Martin,Ing.,43,NK,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,5.0,2 444,2.37,-,-,23.0,930,2.03,-,-,0.0,0,0.0,0,0
793,0.0,Ženíšek Martin,,37,SPOZ,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,42.0,284,1.98,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
794,0.0,Ženíšek Martin,,37,SPOZ,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,34.0,281,1.96,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
795,0.0,Ženíšek Martin,Ing.,51,PVP,KAN,0,0.0,0,0,0.0,0,0.0,0,0,5.0,2 831,2.45,4,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
796,0.0,Ženíšek Martin,Ing.,40,NK,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,39.0,1 936,1.88,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
797,0.0,Ženíšek Martin,Ing.,41,SOS,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,18.0,2 296,2.23,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
798,0.0,Ženíšek Martin,Ing. arch.,37,SOS,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,3.0,3 503,3.4,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
799,0.0,Ženíšek Martin,,55,Suveren.,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,15.0,995,2.1,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
800,0.0,Ženíšek Martin,,46,VV,VV,0,0.0,0,0,0.0,0,0.0,0,0,3.0,1 518,2.49,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
801,0.0,Ženíšek Martin,,46,VV,VV,0,0.0,0,0,0.0,0,0.0,0,0,22.0,1 260,2.07,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
802,0.0,Ženíšek Martin,,65,KČ,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,38.0,1 894,1.84,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
803,0.0,Ženíšek Martin,Ing.,68,KDU-ČSL,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,16.0,2 134,2.16,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
804,0.0,Ženíšek Martin,,49,KČ,KČ,0,0.0,0,0,0.0,0,0.0,0,0,6.0,2 240,2.17,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
805,0.0,Ženíšek Martin,,26,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,41.0,337,1.79,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
806,0.0,Ženíšek Martin,,26,Piráti,BEZPP,0,0.0,0,0,0.0,0,0.0,0,0,24.0,392,2.09,-,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0
