,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly,Věk,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
28,4.0,Boček Pavel,MUDr.,41,KDU-ČSL,KDU-ČSL,4 776,3.27,1.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
29,7.0,Bočko Karel,Ing.,53,ODA,ODA,717,2.75,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
30,40.0,Bochnovič Peter,,34,PVP,BEZPP,2 954,1.61,36.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
31,3.0,Bornová Kateřina,MUDr.,33,US-DEU,US-DEU,3 868,3.25,1.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
32,33.0,Boubín Josef,,59,ČSSD,ČSSD,8 124,2.01,23.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
33,10.0,Boučková Květuše,,74,SŽJ,SŽJ,255,2.89,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
34,3.0,Brabec Miroslav,Mgr.,47,ČSSD,ČSSD,9 914,2.45,2.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
35,21.0,Breitfelder Miroslav,Mgr.,36,ODS,ODS,16 129,2.17,1.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
36,27.0,Brejcha Jaroslav,,62,KSČM,KSČM,5 533,2.12,19.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
37,22.0,Brouček Jan,,54,US-DEU,US-DEU,2 289,1.92,19.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
38,29.0,Brousek Václav,Ing.,50,ODS,ODS,15 611,2.1,9.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
39,22.0,Bruner Jiří,Ing.,54,KSČM,KSČM,5 656,2.17,14.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
40,6.0,Budil Ivo,Doc. RNDr. Ph.D.,37,KDU-ČSL,BEZPP,4 662,3.2,2.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
41,13.0,Bugoš Jaroslav,,51,KSČM,KSČM,5 683,2.18,5.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
42,35.0,Buňatová Marcela,MUDr.,29,PVP,BEZPP,3 379,1.84,31.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
43,47.0,Burda Miroslav,Ing.,38,PVP,BEZPP,2 435,1.32,43.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
44,11.0,Bureš Jaroslav,,63,SŽJ,SŽJ,277,3.14,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
45,29.0,Burešová Eva,,61,ČSSD,ČSSD,8 106,2.0,19.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
46,1.0,Bystřická Jana,,52,KSČM,KSČM,6 626,2.54,1.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
47,17.0,Caltová Marie,,58,PVP,BEZPP,4 513,2.46,7.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
48,2.0,Čechová Radmila,Ing.,51,US-DEU,US-DEU,3 427,2.88,3.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
49,25.0,Čechura Ladislav,MUDr.,31,ODA,BEZPP,885,3.4,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
